Interation,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
2400,113.0,0.0005,106.0,0.0009,84.0,0.0526,113.0,4.5648
2600,46.0,0.0008,92.0,0.0010,83.0,0.0573,113.0,4.7712
2800,59.0,0.0014,110.0,0.0016,74.0,0.0622,112.0,5.1781
3000,111.0,0.0011,108.0,0.0015,84.0,0.0612,113.0,5.5824
3200,111.0,0.0007,111.0,0.0016,79.0,0.0780,113.0,5.9099
3400,111.0,0.0010,99.0,0.0021,89.0,0.0767,113.0,6.4743
3600,93.0,0.0011,100.0,0.0019,78.0,0.1215,113.0,6.8583
3800,110.0,0.0009,101.0,0.0012,80.0,0.0857,110.0,7.1896
4000,98.0,0.0008,113.0,0.0015,81.0,0.0925,113.0,7.7206
4200,79.0,0.0018,113.0,0.0015,76.0,0.1083,112.0,8.1296
4400,60.0,0.0016,112.0,0.0023,93.0,0.1267,113.0,8.3451
4600,60.0,0.0010,113.0,0.0019,72.0,0.1009,107.0,8.6533
4800,60.0,0.0015,111.0,0.0022,83.0,0.1133,113.0,9.3270
5000,89.0,0.0009,113.0,0.0017,76.0,0.1197,113.0,9.2639
5200,60.0,0.0009,111.0,0.0020,71.0,0.1193,111.0,9.9311
5400,81.0,0.0018,113.0,0.0031,78.0,0.1267,113.0,10.2515
5600,60.0,0.0010,113.0,0.0019,77.0,0.1266,113.0,10.3832
5800,60.0,0.0011,113.0,0.0019,77.0,0.1136,113.0,9.6012
6000,90.0,0.0011,113.0,0.0021,80.0,0.1372,113.0,9.6500
6200,107.0,0.0012,113.0,0.0019,79.0,0.1247,113.0,10.0125
6400,84.0,0.0013,113.0,0.0027,95.0,0.1238,108.0,10.7555
6600,60.0,0.0012,113.0,0.0023,80.0,0.1326,113.0,11.0308
6800,60.0,0.0012,113.0,0.0021,84.0,0.1353,113.0,11.4161
7000,104.0,0.0018,113.0,0.0023,79.0,0.1444,113.0,11.1195
7200,60.0,0.0012,113.0,0.0027,82.0,0.1595,113.0,11.9409
7400,60.0,0.0014,113.0,0.0025,86.0,0.1460,113.0,12.3574
7600,60.0,0.0014,113.0,0.0026,89.0,0.1515,113.0,13.3532
7800,60.0,0.0020,113.0,0.0030,83.0,0.1722,113.0,13.9053
8000,60.0,0.0030,113.0,0.0035,78.0,0.1750,113.0,14.4125
8200,60.0,0.0020,113.0,0.0026,78.0,0.1640,113.0,13.3053
8400,105.0,0.0014,113.0,0.0026,90.0,0.1653,113.0,14.4965
8600,60.0,0.0032,113.0,0.0038,79.0,0.1942,113.0,16.0323
8800,60.0,0.0030,113.0,0.0037,79.0,0.2011,113.0,16.1922
9000,112.0,0.0016,113.0,0.0030,85.0,0.1979,113.0,16.1809
9200,60.0,0.0031,113.0,0.0040,77.0,0.2019,113.0,17.1942
9400,60.0,0.0027,113.0,0.0037,73.0,0.2275,113.0,17.4493
9600,60.0,0.0029,113.0,0.0036,79.0,0.2125,113.0,17.2795
9800,60.0,0.0034,113.0,0.0039,90.0,0.2166,113.0,17.6164
10000,60.0,0.0016,113.0,0.0065,93.0,0.2220,113.0,18.4595

Interation,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
0,6.0,0.0053,6.0,0.0019,72.0,0.0020,73.0,0.0505
200,13.0,0.0009,6.0,0.0006,73.0,0.0186,91.0,0.4765
400,81.0,0.0002,8.0,0.0003,81.0,0.0080,89.0,0.7158
600,20.0,0.0002,4.0,0.0002,77.0,0.0134,111.0,0.9908
800,93.0,0.0005,7.0,0.0007,81.0,0.0188,92.0,1.3599
1000,101.0,0.0003,74.0,0.0004,75.0,0.0196,111.0,1.6861
1200,96.0,0.0003,74.0,0.0005,74.0,0.0229,100.0,2.0686
1400,30.0,0.0003,88.0,0.0005,77.0,0.0278,113.0,2.2591
1600,104.0,0.0007,95.0,0.0011,81.0,0.0300,96.0,2.6507
1800,109.0,0.0006,92.0,0.0014,80.0,0.0367,103.0,3.0234
2000,57.0,0.0013,104.0,0.0011,81.0,0.0392,106.0,3.3668
2200,99.0,0.0005,97.0,0.0006,83.0,0.0422,108.0,3.6454
2400,60.0,0.0006,98.0,0.0017,82.0,0.0554,108.0,4.0253
2600,46.0,0.0005,113.0,0.0008,89.0,0.0540,113.0,4.1769
2800,60.0,0.0005,104.0,0.0009,78.0,0.0544,113.0,4.6520
3000,60.0,0.0011,103.0,0.0017,85.0,0.0618,113.0,4.8752
3200,83.0,0.0006,107.0,0.0011,79.0,0.0632,113.0,5.2370
3400,60.0,0.0008,106.0,0.0010,76.0,0.0671,113.0,5.5581
3600,92.0,0.0012,108.0,0.0019,75.0,0.0718,113.0,5.9566
3800,60.0,0.0008,113.0,0.0015,78.0,0.0773,103.0,6.2190
4000,60.0,0.0008,98.0,0.0014,76.0,0.0771,111.0,6.4259
4200,60.0,0.0007,110.0,0.0013,85.0,0.0856,113.0,7.0284
4400,113.0,0.0007,108.0,0.0013,81.0,0.0879,113.0,7.3534
4600,88.0,0.0008,105.0,0.0015,73.0,0.0897,113.0,7.5052
4800,60.0,0.0009,113.0,0.0018,88.0,0.0952,111.0,7.9723
5000,60.0,0.0009,113.0,0.0015,89.0,0.1167,113.0,8.0873
5200,76.0,0.0012,113.0,0.0018,76.0,0.1172,113.0,8.7155
5400,60.0,0.0011,113.0,0.0020,78.0,0.1126,113.0,8.5935
5600,60.0,0.0011,113.0,0.0020,90.0,0.1082,113.0,9.3336
5800,113.0,0.0010,113.0,0.0017,76.0,0.1185,111.0,9.8521
6000,113.0,0.0019,113.0,0.0029,75.0,0.1206,113.0,9.9560
6200,104.0,0.0011,113.0,0.0020,75.0,0.1217,113.0,10.3505
6400,96.0,0.0010,113.0,0.0023,87.0,0.1267,113.0,10.4904
6600,112.0,0.0010,113.0,0.0019,76.0,0.1342,112.0,10.7744
6800,82.0,0.0024,113.0,0.0026,86.0,0.1396,113.0,11.3566
7000,60.0,0.0023,113.0,0.0027,75.0,0.1408,113.0,11.3148
7200,82.0,0.0012,113.0,0.0022,82.0,0.1418,113.0,12.1826
7400,113.0,0.0011,113.0,0.0026,80.0,0.1507,113.0,12.2684
7600,60.0,0.0013,113.0,0.0039,85.0,0.1496,113.0,12.7728
7800,105.0,0.0013,113.0,0.0023,77.0,0.1752,113.0,13.0778
8000,103.0,0.0014,113.0,0.0026,82.0,0.1827,113.0,13.4073
8200,113.0,0.0012,113.0,0.0025,82.0,0.1621,113.0,13.6989
8400,60.0,0.0022,113.0,0.0029,78.0,0.1710,113.0,13.4200
8600,60.0,0.0014,113.0,0.0027,74.0,0.1727,113.0,14.4263
8800,60.0,0.0017,113.0,0.0032,80.0,0.1749,113.0,14.5846
9000,108.0,0.0019,113.0,0.0046,78.0,0.1804,113.0,14.9813
9200,60.0,0.0017,113.0,0.0038,73.0,0.1982,113.0,15.4553
9400,81.0,0.0028,113.0,0.0035,85.0,0.1869,113.0,15.0211
9600,88.0,0.0025,113.0,0.0033,85.0,0.1896,113.0,16.3974
9800,60.0,0.0023,113.0,0.0037,79.0,0.1978,113.0,15.6858
10000,113.0,0.0041,113.0,0.0038,88.0,0.1993,113.0,17.2454

Interation,RHC_optimal,RHC_time,SA_optimal,SA_time,GA_optimal,GA_time,MIMIC_optimal,MIMIC_time,
0,5.0,0.0040,67.0,0.0007,11.0,0.0015,70.0,0.0361
200,12.0,0.0018,4.0,0.0013,84.0,0.0167,98.0,0.4768
400,76.0,0.0003,6.0,0.0003,81.0,0.0083,97.0,0.7183
600,19.0,0.0002,6.0,0.0002,74.0,0.0129,82.0,1.0189
800,95.0,0.0003,5.0,0.0005,77.0,0.0176,94.0,1.3773
1000,94.0,0.0005,70.0,0.0008,79.0,0.0217,108.0,1.6970
1200,41.0,0.0007,81.0,0.0011,78.0,0.0239,109.0,1.9900
1400,106.0,0.0004,88.0,0.0007,76.0,0.0257,107.0,2.4204
1600,99.0,0.0004,96.0,0.0008,78.0,0.0300,108.0,2.7081
1800,75.0,0.0005,96.0,0.0007,88.0,0.0334,103.0,3.1107
2000,104.0,0.0004,86.0,0.0006,85.0,0.0404,113.0,3.2600
2200,48.0,0.0005,109.0,0.0007,85.0,0.0441,112.0,3.6390
2400,60.0,0.0005,96.0,0.0008,76.0,0.0483,108.0,3.9513
2600,94.0,0.0005,113.0,0.0007,88.0,0.0684,113.0,4.3399
2800,83.0,0.0009,96.0,0.0018,94.0,0.0532,113.0,4.4586
3000,104.0,0.0012,113.0,0.0015,71.0,0.0598,108.0,4.9279
3200,105.0,0.0027,106.0,0.0026,87.0,0.0714,113.0,5.3728
3400,91.0,0.0013,111.0,0.0016,74.0,0.0645,112.0,5.7007
3600,60.0,0.0006,110.0,0.0011,80.0,0.0729,113.0,5.9018
3800,112.0,0.0011,113.0,0.0018,82.0,0.0797,113.0,6.2382
4000,113.0,0.0007,113.0,0.0012,80.0,0.0799,113.0,6.6611
4200,98.0,0.0007,105.0,0.0014,83.0,0.0810,113.0,7.0876
4400,60.0,0.0007,113.0,0.0014,80.0,0.0928,111.0,7.5107
4600,70.0,0.0014,113.0,0.0021,79.0,0.0898,113.0,7.5526
4800,97.0,0.0008,113.0,0.0015,92.0,0.0929,113.0,8.0987
